القطاع,القسم,الإدارة,التنظيم الإداري,اسم العقد,المقاول الرئيسي,اسم المشروع,التصنيف الاقتصادي,رأسمالي / تشغيلي,التصنيف الصناعي,قيمة الارتباط,المدة,تاريخ الترسية,تاريخ نهاية العقد
التعليم,المشاريع,الدمام,مركزي,عقد رقم 2020-001,مؤسسة محمد الموسى,تشغيل وصيانة المرافق,الصيانة الدورية,رأسمالي,خدمات متخصصة,190000,6,2023-08-02,2024-01-29
التعليم,الخدمات,حائل,مركزي,عقد رقم 2020-002,مجموعة الزامل,صيانة الطرق,الصيانة الدورية,تشغيلي,صيانة,160000,3,2022-05-14,2022-08-12
البلدية,المشاريع,تبوك,إقليمي,عقد رقم 2020-003,شركة عبدالله عبدالمحسن الخضري,إنشاءات جديدة,الخدمات العامة,تشغيلي,إنشاءات,2050000,24,2022-07-08,2024-06-27
الدفاع,الخدمات,المدينة,مركزي,عقد رقم 2020-004,شركة المباني الحديثة,تطوير المرافق,الصيانة الدورية,رأسمالي,مقاولات عامة,490000,48,2020-07-08,2024-06-17
البلدية,العمليات,حائل,فرعي,عقد رقم 2020-005,شركة المباني الحديثة,تطوير البنية التحتية,مشاريع البنية التحتية,مختلط,صيانة,7180000,24,2020-06-10,2022-05-31
البلدية,الصيانة,تبوك,إقليمي,عقد رقم 2020-006,شركة الفطيم للمقاولات,أعمال النظافة,التطوير والصيانة,رأسمالي,خدمات فنية,25620000,24,2024-05-02,2026-04-22
الإسكان,الصيانة,حائل,فرعي,عقد رقم 2020-007,مجموعة الزامل,تشغيل وصيانة المرافق,الخدمات العامة,رأسمالي,مقاولات عامة,7880000,18,2021-12-28,2023-06-21
التعليم,العمليات,الرياض,فرعي,عقد رقم 2020-008,شركة بن لادن السعودية,الخدمات الكهربائية,المشاريع الاستراتيجية,تشغيلي,إنشاءات,47370000,24,2022-02-16,2024-02-06
الداخلية,التطوير,الدمام,إقليمي,عقد رقم 2020-009,شركة الراجحي للمقاولات,صيانة الطرق,الصيانة الدورية,مختلط,خدمات فنية,310000,36,2021-03-08,2024-02-21
الدفاع,المشاريع,الدمام,محلي,عقد رقم 2020-010,مجموعة السعودي الفرنسي,صيانة المباني,مشاريع البنية التحتية,رأسمالي,صيانة,36800000,48,2024-03-09,2028-02-17
